construction,type,V2
схожу спрошу,M2,YES
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,YES
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,HYP
схожу спрошу,M2,YES
схожу спрошу,M2,NO
схожу спрошу,M2,NO
схожу спрошу,M2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,HYP
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,NO
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,NO
посиди отдохни,P2,NO
посиди отдохни,P2,YES
посиди отдохни,P2,YES
посиди отдохни,P2,NO
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,NO
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,NO
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,NO
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,YES
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,YES
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,NO
иди ляг,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,YES
пойду открою,M1,YES
пойду открою,M1,NO
пойду открою,M1,YES
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,YES
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,YES
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,YES
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду открою,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,NO
пойду посижу,M1,YES
пойду посижу,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,YES
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,YES
иди сходи,M1,YES
иди сходи,M1,YES
иди сходи,M1,YES
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,YES
иди сходи,M1,NO
иди сходи,M1,YES
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,NO
иди сходи,M1,YES
иди сходи,M1,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,YES
сходи посмотри,M2,NO
сходи посмотри,M2,YES
сходи посмотри,M2,NO
сходи посмотри,M2,YES
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,YES
сходи посмотри,M2,YES
сходи посмотри,M2,YES
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,YES
сходи посмотри,M2,NO
сходи посмотри,M2,NO
сходи посмотри,M2,HYP
сходи посмотри,M2,YES
сходи посмотри,M2,NO
сходи посмотри,M2,NO
пойду схожу,M1,YES
пойду схожу,M1,NO
пойду схожу,M1,YES
пойду схожу,M1,YES
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,YES
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,YES
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойду схожу,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,HYP
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,NO
пойди сходи,M1,YES
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,YES
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,NO
пойди сходи,M1,HYP
пойди сходи,M1,YES
пойди сходи,M1,YES
пойди сходи,M1,NO
пойди сходи,M1,YES
пойди сходи,M1,NO
пойди сходи,M1,YES
пойди сходи,M1,NO
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,YES
сядь посиди,P1,HYP
сядь посиди,P1,YES
сядь посиди,P1,NO
сядь посиди,P1,HYP
сядь посиди,P1,YES
сядь посиди,P1,YES
сядь посиди,P1,NO
сядь посиди,P1,YES
сядь посиди,P1,YES
сядь посиди,P1,HYP
сядь посиди,P1,YES
сядь посиди,P1,YES
сядь посиди,P1,YES
сядь посиди,P1,YES
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,HYP
сядь посиди,P1,YES
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,NO
сядь посиди,P1,YES
сядь посиди,P1,NO
