construction;type;V2
схожу спрошу;M1;YES
схожу спрошу;M1;YES
схожу спрошу;M1;NO
схожу спрошу;M1;YES
схожу спрошу;M1;NO
схожу спрошу;M1;YES
схожу спрошу;M1;YES
схожу спрошу;M1;NO
схожу спрошу;M1;YES
схожу спрошу;M1;YES
схожу спрошу;M1;NO
схожу спрошу;M1;HYP
схожу спрошу;M1;YES
схожу спрошу;M1;NO
схожу спрошу;M1;NO
схожу спрошу;M1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;HYP
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;NO
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;NO
посиди отдохни;P1;NO
посиди отдохни;P1;YES
посиди отдохни;P1;YES
посиди отдохни;P1;NO
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;NO
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;NO
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;NO
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;YES
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;YES
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;NO
иди ляг;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;YES
пойду открою;M2;YES
пойду открою;M2;NO
пойду открою;M2;YES
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;YES
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;YES
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;YES
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду открою;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;NO
пойду посижу;M2;YES
пойду посижу;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;YES
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;YES
иди сходи;M2;YES
иди сходи;M2;YES
иди сходи;M2;YES
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;YES
иди сходи;M2;NO
иди сходи;M2;YES
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;NO
иди сходи;M2;YES
иди сходи;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;YES
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;NO
сходи посмотри;M2;HYP
сходи посмотри;M2;YES
сходи посмотри;M2;NO
сходи посмотри;M2;NO
пойду схожу;M2;YES
пойду схожу;M2;NO
пойду схожу;M2;YES
пойду схожу;M2;YES
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;YES
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;YES
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойду схожу;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;HYP
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;NO
пойди сходи;M2;YES
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;YES
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;NO
пойди сходи;M2;HYP
пойди сходи;M2;YES
пойди сходи;M2;YES
пойди сходи;M2;NO
пойди сходи;M2;YES
пойди сходи;M2;NO
пойди сходи;M2;YES
пойди сходи;M2;NO
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;YES
сядь посиди;P2;HYP
сядь посиди;P2;YES
сядь посиди;P2;NO
сядь посиди;P2;HYP
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;NO
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;HYP
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;YES
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;HYP
сядь посиди;P2;YES
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;NO
сядь посиди;P2;YES
сядь посиди;P2;NO
